序号,代码,名称,涨跌幅,最新价,涨停价,成交额,流通市值,总市值,换手率,涨速,是否新高,量比,涨停统计,入选理由,所属行业
81,603393,新天然气,0.11538461595773697,26.03,28.6,119001685,9790610850.86,11034672167.84,1.213152527809143,-0.038402456790208817,1,0.45893147587776184,0/0,1,燃气
90,603706,东方环宇,-0.4530744254589081,15.38,17.0,17054997,2912706141.32,2912706141.32,0.5855280756950378,0.0,1,0.9804673790931702,0/0,1,燃气
71,300779,惠城环保,0.911350429058075,48.72,57.94,328357776,4628924470.8,5252305981.44,7.087312698364258,0.0,1,1.0100346803665161,0/0,1,环保行业
88,002479,富春环保,-0.4098360538482666,4.86,5.37,26317755,4185948865.86,4203900000.0000005,0.6269604563713074,0.41322311758995056,1,0.6709079146385193,0/0,1,环保行业
85,688096,京源环保,-0.0716332420706749,13.95,16.75,9132628,1506539205.8999999,1506539205.8999999,0.6058327555656433,0.0,1,0.678447425365448,0/0,1,环保行业
62,301051,信濠光电,1.6365315914154053,77.01,90.92,149472966,3237769935.0,6160800000.0,4.610700607299805,0.0,1,2.115388870239258,0/0,1,玻璃玻纤
65,002880,卫光生物,1.2840110063552856,33.13,35.98,77560667,7513884000.000001,7513884000.000001,1.0384246110916138,0.0,1,1.839370846748352,0/0,1,生物制品
110,600310,桂东电力,-4.558404445648193,3.35,3.86,397854752,4071355500.0,4910130912.0,9.572624206542969,0.0,1,3.784184217453003,2/1,1,电力行业
72,600900,长江电力,0.8741258382797241,23.08,25.17,1083068416,524882111028.39996,564726462208.0,0.2060992568731308,0.0,1,0.8475525379180908,0/0,1,电力行业
61,600167,联美控股,1.6997168064117432,7.18,7.77,54346826,16428697830.5,16428697808.96,0.33133020997047424,0.13947001099586487,1,0.8919197916984558,0/0,1,电力行业
